log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUSCH Reporting Mode,Csi Meas Set Index,Rank Index,Number of Subbands,WideBand CQI CW0,WideBand CQI CW1,SubBand Size (k),Single WB PMI,Single MB PMI,CSF Tx Mode,Carrier Index,Num CSIrs Ports
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.883939,102,1,380,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.890731,102,8,380,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.913922,102,1,383,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.921382,102,9,383,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.933919,102,1,385,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.941794,102,9,385,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.953920,102,1,387,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:22.993918,102,1,391,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:23.003933,102,1,392,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:49.460613,102,7,397,MODE_APERIODIC_RM31,0,Rank 1,13,10,0,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.668150,102,5,842,MODE_APERIODIC_RM31,0,Rank 2,13,8,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.669294,102,6,842,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.671375,102,8,842,MODE_APERIODIC_RM31,0,Rank 2,13,8,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.672750,102,9,842,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.680499,102,7,843,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.687065,102,4,844,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.687945,102,5,844,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.690256,102,7,844,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.691371,102,8,844,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.693818,102,0,845,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.720630,102,7,847,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.750632,102,7,850,MODE_APERIODIC_RM31,0,Rank 2,10,6,7,8,13,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.760629,102,7,851,MODE_APERIODIC_RM31,0,Rank 2,13,8,7,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.770633,102,7,852,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.777764,102,4,853,MODE_APERIODIC_RM31,0,Rank 1,13,7,5,8,2,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.810632,102,7,856,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.817027,102,4,857,MODE_APERIODIC_RM31,0,Rank 2,13,9,7,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.818040,102,5,857,MODE_APERIODIC_RM31,0,Rank 2,10,6,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.820298,102,7,857,MODE_APERIODIC_RM31,0,Rank 2,13,9,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:43.821355,102,8,857,MODE_APERIODIC_RM31,0,Rank 2,10,6,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.423208,102,1,534,MODE_APERIODIC_RM31,0,Rank 1,13,9,0,8,0,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.430329,102,8,534,MODE_APERIODIC_RM31,0,Rank 2,13,9,9,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.433111,102,1,535,MODE_APERIODIC_RM31,0,Rank 2,13,8,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.436426,102,4,535,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.439302,102,7,535,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.442178,102,0,536,MODE_APERIODIC_RM31,0,Rank 2,13,6,8,8,3,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.445010,102,3,536,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.463077,102,1,538,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.470729,102,8,538,MODE_APERIODIC_RM31,0,Rank 2,13,7,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.493068,102,1,541,MODE_APERIODIC_RM31,0,Rank 2,13,7,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.501405,102,9,541,MODE_APERIODIC_RM31,0,Rank 2,13,7,8,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:24.524305,102,2,544,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.656440,102,3,897,MODE_APERIODIC_RM31,0,Rank 1,10,5,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.657175,102,4,897,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.659034,102,6,897,MODE_APERIODIC_RM31,0,Rank 1,10,5,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.660261,102,7,897,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.675393,102,2,899,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.675785,102,3,899,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.677876,102,5,899,MODE_APERIODIC_RM31,0,Rank 1,10,5,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.678961,102,6,899,MODE_APERIODIC_RM31,0,Rank 1,7,4,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.680048,102,7,899,MODE_APERIODIC_RM31,0,Rank 1,13,1,0,8,14,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.680815,102,8,899,MODE_APERIODIC_RM31,0,Rank 1,10,5,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.681823,102,9,899,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.682879,102,0,900,MODE_APERIODIC_RM31,0,Rank 2,13,0,0,8,4,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.684036,102,1,900,MODE_APERIODIC_RM31,0,Rank 1,10,5,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.685011,102,2,900,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.690781,102,8,900,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,8,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.705767,102,3,902,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.706875,102,4,902,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.707887,102,5,902,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,8,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.708945,102,6,902,MODE_APERIODIC_RM31,0,Rank 1,10,5,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.710078,102,7,902,MODE_APERIODIC_RM31,0,Rank 1,7,3,0,4,9,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.710762,102,8,902,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,8,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:01:45.712181,102,9,902,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.025797,102,2,974,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.028986,102,5,974,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.031859,102,8,974,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.035045,102,1,975,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.037916,102,4,975,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.040791,102,7,975,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.043988,102,0,976,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.046859,102,3,976,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.050048,102,6,976,MODE_APERIODIC_RM31,0,Rank 2,10,9,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.052918,102,9,976,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.055791,102,2,977,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.058980,102,5,977,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.061855,102,8,977,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.071859,102,8,978,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.078980,102,5,979,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.091858,102,8,980,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.100043,102,6,981,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.128986,102,5,984,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.131856,102,8,984,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.168992,102,5,988,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.185056,102,1,990,MODE_APERIODIC_RM31,0,Rank 2,10,7,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.191857,102,8,990,MODE_APERIODIC_RM31,0,Rank 2,10,7,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:04.200042,102,6,991,MODE_APERIODIC_RM31,0,Rank 2,10,8,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:50.460610,102,7,497,MODE_APERIODIC_RM31,0,Rank 2,10,7,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:50.740605,102,7,525,MODE_APERIODIC_RM31,0,Rank 2,13,8,8,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:50.748799,102,5,526,MODE_APERIODIC_RM31,0,Rank 2,10,6,7,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:50.755208,102,2,527,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:50.756258,102,3,527,MODE_APERIODIC_RM31,0,Rank 2,10,6,6,8,10,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:00:50.765608,102,2,528,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.803151,102,0,40,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.805285,102,2,40,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.806339,102,3,40,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.807086,102,4,40,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.808162,102,5,40,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.809203,102,6,40,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.810275,102,7,40,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.811340,102,8,40,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.812075,102,9,40,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.815271,102,2,41,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.816290,102,3,41,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.817079,102,4,41,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.819210,102,6,41,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.820145,102,7,41,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.822077,102,9,41,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.823149,102,0,42,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.824218,102,1,42,MODE_APERIODIC_RM31,0,Rank 2,10,4,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:07.826331,102,3,42,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.063147,102,0,66,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.065284,102,2,66,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.067045,102,4,66,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.068155,102,5,66,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.069223,102,6,66,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.070263,102,7,66,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.071331,102,8,66,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.085283,102,2,68,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.086845,102,4,68,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.660262,102,7,125,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.667088,102,4,126,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.668157,102,5,126,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.669204,102,6,126,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.670266,102,7,126,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.670754,102,8,126,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.672069,102,9,126,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.673138,102,0,127,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.676336,102,3,127,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.677067,102,4,127,MODE_APERIODIC_RM31,0,Rank 1,7,2,0,4,10,0,TM_CL_SM,SCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.678140,102,5,127,MODE_APERIODIC_RM31,0,Rank 1,13,0,0,8,12,0,TM_CL_SM,SCC-2,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:02:08.679207,102,6,127,MODE_APERIODIC_RM31,0,Rank 2,10,3,3,8,14,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.721896,102,8,43,MODE_APERIODIC_RM31,0,Rank 2,13,7,6,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.729030,102,5,44,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.741896,102,8,45,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.749031,102,5,46,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.781893,102,8,49,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.841893,102,8,55,MODE_APERIODIC_RM31,0,Rank 2,13,6,6,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.881897,102,8,59,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.889028,102,5,60,MODE_APERIODIC_RM31,0,Rank 2,13,7,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.901908,102,8,61,MODE_APERIODIC_RM31,0,Rank 2,13,6,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.921902,102,8,63,MODE_APERIODIC_RM31,0,Rank 2,13,6,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.941903,102,8,65,MODE_APERIODIC_RM31,0,Rank 2,13,6,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 03:59:54.949029,102,5,66,MODE_APERIODIC_RM31,0,Rank 2,13,6,7,8,11,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:16.775779,102,3,793,MODE_APERIODIC_RM31,0,Rank 1,10,3,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:16.778959,102,6,793,MODE_APERIODIC_RM31,0,Rank 1,10,3,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:16.790770,102,8,794,MODE_APERIODIC_RM31,0,Rank 1,10,4,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:16.815020,102,2,797,MODE_APERIODIC_RM31,0,Rank 1,10,4,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:16.817897,102,5,797,MODE_APERIODIC_RM31,0,Rank 1,10,3,0,8,12,0,TM_CL_SM,PCC,0
48,LTE_PHY_PUSCH_CSF,2021-11-29 04:03:16.913959,102,1,807,MODE_APERIODIC_RM31,0,Rank 1,10,3,0,8,12,0,TM_CL_SM,PCC,0
