log_msg_len,type_id,timestamp,Version,Serving Cell ID,System Frame Number,Subframe Number,PDSCH RNTIl ID,Number of Tx Antennas(M),PDSCH RNTI Type,Number of Rx Antennas(N),Spatial Rank,Frequency Selective PMI,RB Allocation Slot 0[0],RB Allocation Slot 0[1],RB Allocation Slot 1[0],RB Allocation Slot 1[1],PMI Index,Transmission Scheme,BMOD FD Sym Index,TBS 0,MCS 0,Traffic to Pilot Ratio,TBS 1,MCS 1,PB,Carrier Index,CSI-RS Exist,ZP CSI-RS Exist,CSI-RS Symbol Skipped,Op Mode,Strong ICell ID,Joint Demod Skip Reason
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:21.409208,123,349,431,3,26529,4 antennas,C-RNTI,2 antennas,Rank 1,WideBand,0x0000000000000000,0x00000000000000f0,0x0000000000000000,0x00000000000000f0,13,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:21.415754,123,349,431,9,26529,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x00000000000000f0,0x0000000000000000,0x00000000000000f0,14,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:18.855018,123,349,175,8,26529,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x000f000000000000,0x0000000000000000,0x000f000000000000,0x0000000000000000,13,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:19.228979,123,349,213,2,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0000000000000000,0x00000000000f0000,0x0000000000000000,0x00000000000f0000,11,Closed-loop spatial multiplexing,0,680,16QAM,1.4140625,392,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.019648,123,349,792,3,26529,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000000000000,0x00000000f0000000,0x0000000000000000,0x00000000f0000000,11,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.032886,123,349,793,6,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000fffff000ff,0x0000000fff00ff00,0xff0000fffff000ff,0x0000000fff00ff00,11,Closed-loop spatial multiplexing,0,12576,16QAM,1.4140625,11448,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.033981,123,349,793,7,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000ff000000f0,0x00000000ff000000,0xff0000ff000000f0,0x00000000ff000000,11,Closed-loop spatial multiplexing,0,6456,16QAM,1.4140625,3880,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.033981,123,202,793,7,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0ff00f0000000000,0x00000000000000ff,0x0ff00f0000000000,0x00000000000000ff,10,Closed-loop spatial multiplexing,0,2088,QPSK,1.99609375,5736,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.069648,123,349,797,3,26529,4 antennas,C-RNTI,4 antennas,Rank 1,WideBand,0x0000000f00000000,0x0000000000000000,0x0000000f00000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,176,QPSK,1.4140625,0,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.080228,123,349,798,4,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffffffff0000f0ff,0x00000000ffffffff,0xffffffff0000f0ff,0x00000000ffffffff,11,Closed-loop spatial multiplexing,0,17568,16QAM,1.4140625,13536,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.081814,123,349,798,5,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff000fff00000000,0x00000000f0ff00ff,0xff000fff00000000,0x00000000f0ff00ff,11,Closed-loop spatial multiplexing,0,10296,16QAM,1.4140625,7992,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.081814,123,202,798,5,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xfff00ff00f000000,0x00000000000007ff,0xfff00ff00f000000,0x00000000000007ff,10,Closed-loop spatial multiplexing,0,6968,16QAM,1.99609375,9912,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.081814,123,349,798,6,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0fffff0000ff0f,0x00000000ffff00f0,0xff0fffff0000ff0f,0x00000000ffff00f0,11,Closed-loop spatial multiplexing,0,13536,16QAM,1.4140625,8504,QPSK,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.083955,123,349,798,7,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00ffff00f0ffff,0x00000000ffff00ff,0xff00ffff00f0ffff,0x00000000ffff00ff,11,Closed-loop spatial multiplexing,0,17568,16QAM,1.4140625,11832,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.083955,123,202,798,8,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x000f0f0000000000,0x0000000000000000,0x000f0f0000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,2472,16QAM,1.99609375,2472,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.085761,123,202,798,9,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000ff00fffff0,0x00000000ffff00ff,0xff0000ff00fffff0,0x00000000ffff00ff,11,Closed-loop spatial multiplexing,0,13536,16QAM,1.4140625,10680,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.085761,123,202,798,9,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff0000ff00fffff0,0x00000000ffff00ff,0xff0000ff00fffff0,0x00000000ffff00ff,11,Closed-loop spatial multiplexing,0,13536,16QAM,1.4140625,10680,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.086830,123,349,799,1,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x0f0000ff00000000,0x0000000000000000,0x0f0000ff00000000,0x0000000000000000,11,Closed-loop spatial multiplexing,0,3112,16QAM,1.4140625,2728,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.088953,123,202,799,2,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0x00ff000000000000,0x0000000000000000,0x00ff000000000000,0x0000000000000000,10,Closed-loop spatial multiplexing,0,2856,64QAM,1.99609375,2856,64QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.090003,123,349,799,3,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff000ffff0000000,0x00000000000000ff,0xff000ffff0000000,0x00000000000000ff,11,Closed-loop spatial multiplexing,0,8248,16QAM,1.4140625,8248,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.090003,123,202,799,3,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xffff0000f0fffff0,0x00000000000007ff,0xffff0000f0fffff0,0x00000000000007ff,10,Closed-loop spatial multiplexing,0,11832,16QAM,1.99609375,12960,16QAM,1,SCC,0,0,0,(MI)Unknown,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.090003,123,202,799,4,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00ffff0fff0000,0x000000000f0000ff,0xff00ffff0fff0000,0x000000000f0000ff,11,Closed-loop spatial multiplexing,0,12216,16QAM,1.4140625,11064,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
76,LTE_PHY_PDSCH_Packet,2021-11-29 20:23:25.090003,123,202,799,4,26529,4 antennas,C-RNTI,4 antennas,Rank 2,WideBand,0xff00ffff0fff0000,0x000000000f0000ff,0xff00ffff0fff0000,0x000000000f0000ff,11,Closed-loop spatial multiplexing,0,12216,16QAM,1.4140625,11064,16QAM,1,PCC,0,0,0,TILE0_4RX,0,NO_SKIP
